time	V(clk)
1.199776142857089e-005	0.000000e+000
1.199808285714240e-005	0.000000e+000
1.199840428571390e-005	0.000000e+000
1.199872571428541e-005	0.000000e+000
1.199904714285691e-005	0.000000e+000
1.199936857142842e-005	0.000000e+000
1.199968999999992e-005	0.000000e+000
1.199970999999993e-005	0.000000e+000
1.199999000000000e-005	0.000000e+000
1.200000000000000e-005	0.000000e+000
1.200000100000000e-005	1.100000e-001
1.200000300000000e-005	3.300000e-001
1.200000600000000e-005	6.600000e-001
1.200001000000000e-005	1.100000e+000
1.200001040000000e-005	1.100000e+000
1.200001120000000e-005	1.100000e+000
1.200001280000000e-005	1.100000e+000
1.200001600000000e-005	1.100000e+000
1.200002240000000e-005	1.100000e+000
1.200003520000001e-005	1.100000e+000
1.200006080000001e-005	1.100000e+000
1.200011200000003e-005	1.100000e+000
1.200018325636847e-005	1.100000e+000
1.200026151042709e-005	1.100000e+000
1.200034381716915e-005	1.100000e+000
1.200049374987933e-005	1.100000e+000
1.200064345709128e-005	1.100000e+000
1.200091149404573e-005	1.100000e+000
1.200127682864273e-005	1.100000e+000
1.200182342119216e-005	1.100000e+000
1.200269636744767e-005	1.100000e+000
1.200397201524023e-005	1.100000e+000
1.200600453659656e-005	1.100000e+000
1.200910253160691e-005	1.100000e+000
1.201390507634063e-005	1.100000e+000
1.202273998425387e-005	1.100000e+000
1.203985683172240e-005	1.100000e+000
1.207409052665946e-005	1.100000e+000
1.283580927665945e-005	1.100000e+000
1.289440302665945e-005	1.100000e+000
1.294141625000000e-005	1.100000e+000
1.294142625000001e-005	1.100000e+000
1.294144625000001e-005	1.100000e+000
1.294148625000002e-005	1.100000e+000
1.294155579447775e-005	1.100000e+000
1.294169488343322e-005	1.100000e+000
1.294197306134415e-005	1.100000e+000
1.294252941716602e-005	1.100000e+000
1.294364212880976e-005	1.100000e+000
1.294586755209723e-005	1.100000e+000
1.295031839867218e-005	1.100000e+000
1.295922009182207e-005	1.100000e+000
1.297702347812186e-005	1.100000e+000
1.297703347812186e-005	1.100000e+000
1.297705347812187e-005	1.100000e+000
1.297709347812188e-005	1.100000e+000
1.297717347812189e-005	1.100000e+000
1.297733347812193e-005	1.100000e+000
1.297765347812201e-005	1.100000e+000
1.297829347812216e-005	1.100000e+000
1.297957347812247e-005	1.100000e+000
1.298976999999755e-005	1.100000e+000
1.299480304374404e-005	1.100000e+000
1.299481304374404e-005	1.100000e+000
1.299483304374405e-005	1.100000e+000
1.299487304374406e-005	1.100000e+000
1.299495304374408e-005	1.100000e+000
1.299511304374411e-005	1.100000e+000
1.299543304374419e-005	1.100000e+000
1.299735304374465e-005	1.100000e+000
1.299764391250887e-005	1.100000e+000
1.299803173752783e-005	1.100000e+000
1.299880738756575e-005	1.100000e+000
1.299883738756575e-005	1.100000e+000
1.299887738756576e-005	1.100000e+000
1.299895738756578e-005	1.100000e+000
1.299911738756582e-005	1.100000e+000
1.299943738756590e-005	1.100000e+000
1.299946738756591e-005	1.100000e+000
1.299950738756591e-005	1.100000e+000
1.299974738756597e-005	1.100000e+000
1.299977738756598e-005	1.100000e+000
1.299990738756601e-005	1.100000e+000
1.300000000000000e-005	1.100000e+000
1.300001000000000e-005	1.100000e+000
1.300001100000000e-005	9.900000e-001
1.300001300000000e-005	7.700000e-001
1.300001600000000e-005	4.400000e-001
1.300002000000000e-005	0.000000e+000
1.300002040000000e-005	0.000000e+000
1.300002120000000e-005	0.000000e+000
1.300002280000000e-005	0.000000e+000
1.300002600000000e-005	0.000000e+000
1.300003240000000e-005	0.000000e+000
1.300004520000001e-005	0.000000e+000
1.300007080000001e-005	0.000000e+000
1.300011468602263e-005	0.000000e+000
1.300020245806787e-005	0.000000e+000
1.300037800215834e-005	0.000000e+000
1.300072909033929e-005	0.000000e+000
1.300143126670120e-005	0.000000e+000
1.300283561942500e-005	0.000000e+000
1.313246167212153e-005	0.000000e+000
1.326208772481806e-005	0.000000e+000
1.339171377751459e-005	0.000000e+000
1.352133983021112e-005	0.000000e+000
1.365096588290765e-005	0.000000e+000
1.378059193560418e-005	0.000000e+000
1.391021798830071e-005	0.000000e+000
1.394140625000000e-005	0.000000e+000
1.394143625000000e-005	0.000000e+000
1.394147625000001e-005	0.000000e+000
1.394171625000002e-005	0.000000e+000
1.394711821428553e-005	0.000000e+000
1.395252017857104e-005	0.000000e+000
1.395792214285654e-005	0.000000e+000
1.396332410714205e-005	0.000000e+000
1.396872607142755e-005	0.000000e+000
1.397412803571306e-005	0.000000e+000
1.397952999999857e-005	0.000000e+000
1.397954999999857e-005	0.000000e+000
1.399999000000000e-005	0.000000e+000
1.400000000000000e-005	0.000000e+000
1.400000100000000e-005	1.100000e-001
1.400000300000000e-005	3.300000e-001
1.400000600000000e-005	6.600000e-001
1.400001000000000e-005	1.100000e+000
1.400001040000000e-005	1.100000e+000
1.400001120000000e-005	1.100000e+000
1.400001280000000e-005	1.100000e+000
1.400001600000000e-005	1.100000e+000
1.400002240000000e-005	1.100000e+000
1.400003520000001e-005	1.100000e+000
1.400006080000001e-005	1.100000e+000
1.400011200000003e-005	1.100000e+000
1.400021440000005e-005	1.100000e+000
1.400041920000010e-005	1.100000e+000
1.400785051428759e-005	1.100000e+000
1.401528182857508e-005	1.100000e+000
1.402271314286258e-005	1.100000e+000
1.403014445715007e-005	1.100000e+000
1.403757577143756e-005	1.100000e+000
1.404500708572506e-005	1.100000e+000
1.405243840001255e-005	1.100000e+000
1.410486720002510e-005	1.100000e+000
1.422205470002510e-005	1.100000e+000
1.432482063573580e-005	1.100000e+000
1.442758657144650e-005	1.100000e+000
1.453035250715720e-005	1.100000e+000
1.463311844286790e-005	1.100000e+000
1.473588437857860e-005	1.100000e+000
1.483865031428930e-005	1.100000e+000
1.494141625000000e-005	1.100000e+000
1.496753690005018e-005	1.100000e+000
1.496756690005018e-005	1.100000e+000
1.496768690005021e-005	1.100000e+000
1.498801690005508e-005	1.100000e+000
1.499999964102031e-005	1.100000e+000
1.500001000000000e-005	1.100000e+000
1.500001100000000e-005	9.900000e-001
1.500001300000000e-005	7.700000e-001
1.500001600000000e-005	4.400000e-001
1.500002000000000e-005	0.000000e+000
1.500002040000000e-005	0.000000e+000
1.500002120000000e-005	0.000000e+000
1.500002280000000e-005	0.000000e+000
1.500002600000000e-005	0.000000e+000
1.500003240000000e-005	0.000000e+000
1.500004520000001e-005	0.000000e+000
1.500007080000001e-005	0.000000e+000
1.500012200000002e-005	0.000000e+000
1.500022440000005e-005	0.000000e+000
1.500042920000010e-005	0.000000e+000
1.500083880000020e-005	0.000000e+000
1.513520557857160e-005	0.000000e+000
1.526957235714300e-005	0.000000e+000
1.540393913571440e-005	0.000000e+000
1.553830591428580e-005	0.000000e+000
1.567267269285720e-005	0.000000e+000
1.580703947142860e-005	0.000000e+000
1.594140625000000e-005	0.000000e+000
1.596756690005022e-005	0.000000e+000
1.596759690005022e-005	0.000000e+000
1.596763690005023e-005	0.000000e+000
1.598804690005165e-005	0.000000e+000
1.599999000000000e-005	0.000000e+000
1.599999986826313e-005	0.000000e+000
1.600000000000000e-005	0.000000e+000
1.600000026347373e-005	2.898211e-002
1.600000079042120e-005	8.694633e-002
1.600000184431612e-005	2.028748e-001
1.600000395210598e-005	4.347317e-001
1.600000578442029e-005	6.362863e-001
1.600000944904892e-005	1.039395e+000
1.600001000000000e-005	1.100000e+000
1.600001073292573e-005	1.100000e+000
1.600001219877718e-005	1.100000e+000
1.600001513048009e-005	1.100000e+000
1.600002099388590e-005	1.100000e+000
1.600003272069752e-005	1.100000e+000
1.600005617432077e-005	1.100000e+000
1.600010308156726e-005	1.100000e+000
1.600019689606023e-005	1.100000e+000
1.600075978301811e-005	1.100000e+000
1.600751442651265e-005	1.100000e+000
1.601426907000718e-005	1.100000e+000
1.602102371350171e-005	1.100000e+000
1.602777835699625e-005	1.100000e+000
1.603453300049078e-005	1.100000e+000
1.604128764398531e-005	1.100000e+000
1.604804228747984e-005	1.100000e+000
1.609607530788541e-005	1.100000e+000
1.621326280788541e-005	1.100000e+000
1.631850428044048e-005	1.100000e+000
1.642374575299554e-005	1.100000e+000
1.652898722555060e-005	1.100000e+000
1.663422869810567e-005	1.100000e+000
1.673947017066073e-005	1.100000e+000
1.684471164321579e-005	1.100000e+000
1.694995311577085e-005	1.100000e+000
1.696702684731256e-005	1.100000e+000
1.696705684731257e-005	1.100000e+000
1.698750684731400e-005	1.100000e+000
1.700000000000000e-005	1.100000e+000
1.700001000000000e-005	1.100000e+000
1.700001100000000e-005	9.900000e-001
1.700001300000000e-005	7.700000e-001
1.700001600000000e-005	4.400000e-001
1.700002000000000e-005	1.559830e-010
1.700002040000000e-005	0.000000e+000
1.700002120000000e-005	0.000000e+000
1.700002280000000e-005	0.000000e+000
1.700002599999999e-005	0.000000e+000
1.700003239999999e-005	0.000000e+000
1.700004519999998e-005	0.000000e+000
1.700007079999997e-005	0.000000e+000
1.700012199999994e-005	0.000000e+000
1.700022439999987e-005	0.000000e+000
1.700042919999975e-005	0.000000e+000
1.700083879999950e-005	0.000000e+000
1.713520557857100e-005	0.000000e+000
1.726957235714250e-005	0.000000e+000
1.740393913571400e-005	0.000000e+000
1.753830591428550e-005	0.000000e+000
1.767267269285700e-005	0.000000e+000
1.780703947142850e-005	0.000000e+000
1.794140625000000e-005	0.000000e+000
1.796756689987259e-005	0.000000e+000
1.796759689987259e-005	0.000000e+000
1.796763689987259e-005	0.000000e+000
1.798804689987402e-005	0.000000e+000
1.799999374692314e-005	0.000000e+000
1.800000000000000e-005	0.000000e+000
1.800000062530769e-005	6.878384e-002
1.800000187592306e-005	2.063515e-001
1.800000437715380e-005	4.814869e-001
1.800000937961529e-005	1.031758e+000
1.800001000000000e-005	1.100000e+000
1.800001100049230e-005	1.100000e+000
1.800001300147690e-005	1.100000e+000
1.800001700344609e-005	1.100000e+000
1.800002500738447e-005	1.100000e+000
1.800004101526123e-005	1.100000e+000
1.800007303101475e-005	1.100000e+000
1.800013706252179e-005	1.100000e+000
1.800026512553587e-005	1.100000e+000
1.800052125156403e-005	1.100000e+000
1.800205800773302e-005	1.100000e+000
1.801640106531021e-005	1.100000e+000
1.806557726271773e-005	1.100000e+000
1.818276476271773e-005	1.100000e+000
1.828321119128916e-005	1.100000e+000
1.838365761986059e-005	1.100000e+000
1.848410404843202e-005	1.100000e+000
1.858455047700346e-005	1.100000e+000
1.868499690557489e-005	1.100000e+000
1.878544333414631e-005	1.100000e+000
1.888588976271774e-005	1.100000e+000
1.894448351271775e-005	1.100000e+000
1.894451351271775e-005	1.100000e+000
1.894463351271776e-005	1.100000e+000
1.900000000000000e-005	1.100000e+000
1.900001000000000e-005	1.100000e+000
1.900001100000000e-005	9.900000e-001
1.900001300000000e-005	7.700000e-001
1.900001600000001e-005	4.400000e-001
1.900002000000000e-005	1.559830e-010
1.900002040000000e-005	0.000000e+000
1.900002120000000e-005	0.000000e+000
1.900002280000000e-005	0.000000e+000
1.900002600000000e-005	0.000000e+000
1.900003239999999e-005	0.000000e+000
1.900004519999998e-005	0.000000e+000
1.900007079999997e-005	0.000000e+000
1.900012199999994e-005	0.000000e+000
1.900022439999988e-005	0.000000e+000
1.900042919999975e-005	0.000000e+000
1.900083879999950e-005	0.000000e+000
1.913520557857100e-005	0.000000e+000
1.926957235714250e-005	0.000000e+000
1.940393913571400e-005	0.000000e+000
1.953830591428550e-005	0.000000e+000
1.967267269285700e-005	0.000000e+000
1.980703947142850e-005	0.000000e+000
1.994140625000000e-005	0.000000e+000
1.996756689987259e-005	0.000000e+000
1.996759689987258e-005	0.000000e+000
1.996763689987257e-005	0.000000e+000
1.998804689986708e-005	0.000000e+000
1.999999397056642e-005	0.000000e+000
2.000000000000000e-005	3.726945e-010
2.000000060294336e-005	6.632377e-002
